,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
64,Atuona,-9.8,-139.0333,80.53,76,24,19.04,PF,1618872215
65,Nuuk,64.1835,-51.7216,32.0,100,90,31.07,GL,1618872198
66,Bathsheba,13.2167,-59.5167,80.6,57,20,19.57,BB,1618872215
67,Kahului,20.8947,-156.47,84.2,58,20,10.36,US,1618872015
68,Qaanaaq,77.484,-69.3632,2.17,82,98,6.26,GL,1618872216
69,Carnarvon,-24.8667,113.6333,72.55,55,0,20.09,AU,1618872216
70,Lebu,-37.6167,-73.65,58.35,95,100,15.99,CL,1618872026
71,Santa Luzia,-19.7697,-43.8514,77.0,53,20,4.61,BR,1618871928
72,Algiers,36.7525,3.042,51.8,76,0,3.44,DZ,1618871937
73,Lagoa,39.05,-27.9833,61.83,84,94,9.78,PT,1618872217
74,Araouane,18.9048,-3.5265,81.45,9,48,10.63,ML,1618872217
75,Yerbogachën,61.2767,108.0108,21.25,67,100,15.82,RU,1618872218
76,Buala,-8.145,159.5921,85.53,71,84,8.48,SB,1618872218
77,Mahébourg,-20.4081,57.7,77.0,94,40,9.28,MU,1618872218
78,Māngrol,21.1167,70.1167,78.98,82,85,10.92,IN,1618872218
79,Ponta Delgada,37.7333,-25.6667,62.6,88,20,8.05,PT,1618872219
80,Lorengau,-2.0226,147.2712,84.54,70,89,6.76,PG,1618872219
81,Khatanga,71.9667,102.5,-14.8,99,51,3.6,RU,1618872219
82,Port Elizabeth,-33.918,25.5701,59.0,94,90,1.14,ZA,1618872123
83,Cabo San Lucas,22.8909,-109.9124,79.0,61,40,11.5,MX,1618872055
84,Saskylakh,71.9167,114.0833,-9.45,98,75,2.93,RU,1618872220
85,Pisco,-13.7,-76.2167,71.6,73,0,16.11,PE,1618872220
86,Grindavik,63.8424,-22.4338,32.0,93,75,17.27,IS,1618872221
87,Halifax,44.6453,-63.5724,57.2,44,20,13.8,CA,1618872212
88,Longyearbyen,78.2186,15.6401,32.0,93,90,13.8,SJ,1618872221
89,Punta Arenas,-53.15,-70.9167,48.2,57,0,13.8,CL,1618872221
90,Mersing,2.4312,103.8405,75.2,94,29,5.75,MY,1618872221
91,Kaitangata,-46.2817,169.8464,60.01,56,0,4.0,NZ,1618872222
92,Newport,51.5877,-2.9984,46.99,81,73,2.3,GB,1618872222
93,Esperance,-33.8667,121.9,59.0,100,90,6.91,AU,1618872222
94,Hithadhoo,-0.6,73.0833,82.53,65,86,4.83,MV,1618872223
95,Airai,-8.9266,125.4092,61.92,75,62,1.54,TL,1618872223
96,Pangnirtung,66.1451,-65.7125,17.6,86,90,4.61,CA,1618872224
97,Helena,46.5927,-112.0361,37.99,44,90,13.8,US,1618872224
98,Asău,46.4333,26.4,44.01,64,100,3.91,RO,1618872224
99,Riyadh,24.6877,46.7219,80.6,21,0,5.01,SA,1618872020
100,Pochutla,15.7432,-96.4661,89.01,48,40,11.5,MX,1618871932
101,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,71.98,60,0,6.64,AR,1618871932
102,Tasiilaq,65.6145,-37.6368,24.8,68,8,11.5,GL,1618872225
103,Chekhov,55.1431,37.4711,44.6,39,0,11.18,RU,1618872225
104,Tuatapere,-46.1333,167.6833,62.01,62,3,5.01,NZ,1618872226
105,North Bend,43.4065,-124.2243,55.99,76,1,9.22,US,1618872226
106,Esso,55.9333,158.7,31.1,84,100,13.89,RU,1618872226
107,Port Hedland,-20.3167,118.5667,71.6,78,75,6.91,AU,1618872226
108,Zhangjiakou Shi Xuanhua Qu,40.6103,115.0447,61.3,27,100,5.37,CN,1618872227
109,Chui,-33.6971,-53.4616,64.98,79,0,10.04,UY,1618872227
110,San Cristobal,7.7669,-72.225,91.4,27,40,13.8,VE,1618872228
111,Hasaki,35.7333,140.8333,57.2,62,20,1.14,JP,1618872228
112,Hobyo,5.3505,48.5268,83.14,74,72,7.61,SO,1618872228
113,Naze,28.3667,129.4833,66.2,63,40,10.36,JP,1618872229
114,San Patricio,28.017,-97.5169,69.01,60,90,9.22,US,1618872229
115,Jinxi,30.4323,116.2922,62.4,67,99,2.46,CN,1618871934
116,Alofi,-19.0595,-169.9187,82.4,65,75,18.41,NU,1618872229
117,Matara,5.9485,80.5353,77.4,88,87,6.22,LK,1618872084
118,Russellville,35.2784,-93.1338,72.0,30,1,5.17,US,1618872230
119,Arraial do Cabo,-22.9661,-42.0278,75.2,88,0,23.02,BR,1618872231
120,Arrondissement d'Ajaccio,42.0,8.9167,44.6,87,0,6.91,FR,1618872231
121,Coquimbo,-29.9533,-71.3436,57.2,88,75,6.91,CL,1618872231
122,Mae Chan,20.1467,99.8526,71.6,100,0,4.61,TH,1618872232
123,Agirish,61.9247,63.0231,28.22,69,98,11.39,RU,1618872232
124,Lake Havasu City,34.4839,-114.3224,89.6,4,1,4.61,US,1618872232
125,Plouzané,48.3833,-4.6167,50.0,76,0,6.91,FR,1618872233
126,Jinji,23.2281,110.8261,66.69,96,100,4.54,CN,1618872233
127,Korla,41.7597,86.1469,60.73,40,100,5.82,CN,1618872233
128,Mount Isa,-20.7333,139.5,75.2,29,57,4.61,AU,1618872233
129,Yarkovo,57.4028,67.0786,21.7,54,9,3.15,RU,1618872234
130,Nikšić,42.7731,18.9445,48.2,93,75,3.44,ME,1618871937
131,Narasannapeta,18.4167,84.05,81.03,88,56,7.92,IN,1618872234
132,Phalombe,-15.8064,35.6507,60.64,97,44,3.18,MW,1618871938
133,Broken Hill,-31.95,141.4333,59.0,41,99,8.05,AU,1618872235
134,Bonavista,48.6499,-53.1147,39.99,100,100,3.44,CA,1618872235
135,Dzyhivka,48.359,28.3158,45.0,88,87,5.57,UA,1618872235
136,George Town,5.4112,100.3354,78.01,94,40,4.61,MY,1618872235
137,Upernavik,72.7868,-56.1549,1.09,82,26,6.76,GL,1618872236
138,New Norfolk,-42.7826,147.0587,51.01,75,100,1.01,AU,1618872236
139,La Ronge,55.1001,-105.2842,33.8,37,100,13.8,CA,1618872236
140,Yagodnoye,62.55,149.6667,28.08,92,100,3.58,RU,1618872237
141,Udachny,66.4167,112.4,0.95,99,75,3.13,RU,1618872237
142,Cayenne,4.9333,-52.3333,75.99,94,75,2.3,GF,1618872237
143,Dubti,11.7361,41.0853,80.35,40,97,5.12,ET,1618872238
144,Hilo,19.7297,-155.09,86.0,51,20,14.97,US,1618872238
145,Dawson Creek,55.7666,-120.2362,51.8,32,1,4.61,CA,1618872239
146,Phang Nga,8.4509,98.5298,81.0,94,75,1.14,TH,1618872239
147,Chākia,26.4167,85.05,77.88,16,0,2.26,IN,1618872239
148,Kavieng,-2.5744,150.7967,82.47,76,100,8.39,PG,1618872240
149,Lao Cai,22.4833,103.95,72.95,87,46,1.28,VN,1618871942
150,Cairns,-16.9167,145.7667,75.2,94,75,2.3,AU,1618872240
151,Rusape,-18.5278,32.1284,52.0,90,88,1.81,ZW,1618872240
152,Codajás,-3.8367,-62.0569,72.59,99,100,1.97,BR,1618872241
153,Tiksi,71.6872,128.8694,1.09,98,85,0.74,RU,1618872241
154,Mar del Plata,-38.0023,-57.5575,68.0,73,0,8.05,AR,1618872241
155,Pueblo,38.2545,-104.6091,50.0,40,40,20.71,US,1618872242
156,Reconquista,-29.15,-59.65,70.14,69,0,7.25,AR,1618872242
157,Nanortalik,60.1432,-45.2371,32.34,77,100,7.18,GL,1618872242
158,Kānkon,15.0167,74.0167,81.34,77,42,5.35,IN,1618872243
159,Flinders,-34.5833,150.8552,59.0,75,0,3.0,AU,1618872243
160,Dikson,73.5069,80.5464,-6.14,97,12,6.51,RU,1618872243
161,San Policarpo,12.1791,125.5072,80.15,76,100,17.72,PH,1618872243
162,Kovūr,14.4833,79.9833,84.07,71,70,11.7,IN,1618871956
163,Cherskiy,68.75,161.3,32.41,72,96,12.77,RU,1618872244
164,Tual,-5.6667,132.75,79.07,85,100,15.28,ID,1618872244
165,Katsuura,35.1333,140.3,59.0,55,0,3.44,JP,1618872245
166,Svetlaya,46.5389,138.3297,38.7,40,57,15.19,RU,1618872245
167,Camacha,33.0833,-16.3333,64.4,88,40,10.36,PT,1618872245
168,Bontang,0.1333,117.5,76.84,87,98,7.65,ID,1618872245
169,Greystones,53.1408,-6.0631,46.99,91,100,4.21,IE,1618872246
170,Gamba,-2.65,10.0,75.15,93,100,11.01,GA,1618872246
171,Porto Empedocle,37.2934,13.5264,43.0,87,1,6.46,IT,1618872246
172,Pahrump,36.2083,-115.9839,84.0,4,11,8.01,US,1618872247
173,Torbay,47.6666,-52.7314,41.0,93,90,13.8,CA,1618872247
174,Siderno,38.2779,16.302,54.0,71,9,8.05,IT,1618872247
175,Verkhoyansk,67.5447,133.385,16.97,88,100,5.41,RU,1618872248
176,Inverness,57.4791,-4.224,50.0,57,100,6.91,GB,1618872248
177,Barrow,71.2906,-156.7887,24.8,80,90,20.71,US,1618872248
178,Grand-Santi,4.25,-54.3833,72.16,98,100,2.68,GF,1618872248
179,Iqaluit,63.7506,-68.5145,21.2,79,75,3.44,CA,1618872249
180,Muravlenko,63.7898,74.523,15.42,94,100,19.15,RU,1618872249
181,Lavrentiya,65.5833,-171.0,30.79,76,5,7.34,RU,1618872249
182,Taos,36.4072,-105.5731,60.8,18,75,12.66,US,1618872250
183,Opalenica,52.3089,16.4128,50.0,93,0,2.3,PL,1618872250
184,Kutoarjo,-7.7169,109.9128,73.51,87,31,4.32,ID,1618872250
185,Naryan-Mar,67.6713,53.087,27.03,93,96,11.23,RU,1618872250
186,Leningradskiy,69.3833,178.4167,22.46,80,4,5.79,RU,1618872251
187,Riviere-au-Renard,48.9957,-64.3971,46.4,81,90,4.61,CA,1618872251
188,Landeck,47.1301,10.5636,41.0,65,20,4.61,AT,1618872251
189,Okakarara,-20.5833,17.4333,59.32,47,3,4.74,NA,1618872252
190,Oranjemund,-28.55,16.4333,60.37,93,95,5.03,NA,1618872252
191,Chokurdakh,70.6333,147.9167,16.9,85,100,12.8,RU,1618872252
192,Soe,-9.8607,124.284,65.52,80,44,1.52,ID,1618872253
193,Palana,59.1167,159.9667,34.2,69,100,9.8,RU,1618872253
194,Zamora,-4.0692,-78.9567,69.73,98,100,1.32,EC,1618872253
195,Manacor,39.5696,3.2096,55.4,88,20,4.61,ES,1618872253
196,Luancheng,37.8792,114.6517,55.4,76,0,4.47,CN,1618872254
197,Obo,5.3998,26.4869,72.43,80,100,2.89,CF,1618872254
198,Cidreira,-30.1811,-50.2056,69.98,73,70,11.1,BR,1618872254
199,Pundaguitan,6.3711,126.1689,82.47,71,100,6.2,PH,1618872255
200,Chicama,-7.8447,-79.1469,68.0,88,20,10.36,PE,1618872255
201,Lüderitz,-26.6481,15.1594,70.48,61,76,8.93,NA,1618872255
202,Bilma,18.6853,12.9164,86.9,7,2,7.45,NE,1618872256
203,Tessalit,20.1986,1.0114,82.38,8,64,8.21,ML,1618872256
204,Phonhong,18.5007,102.4166,73.04,91,15,2.53,LA,1618872256
205,Morehead,37.2711,-87.1764,68.0,30,1,6.91,US,1618872257
206,Talnakh,69.4865,88.3972,-12.48,97,57,3.47,RU,1618872257
207,Kāman,27.65,77.2667,79.38,18,2,4.52,IN,1618872257
208,George Town,5.4112,100.3354,78.01,94,40,4.61,MY,1618872009
209,Pathein,16.7833,94.7333,76.82,84,1,5.61,MM,1618872258
210,Altay,47.8667,88.1167,45.55,88,100,7.16,CN,1618872258
211,Sioux Lookout,50.1001,-91.917,35.6,35,75,12.66,CA,1618872258
212,Faanui,-16.4833,-151.75,82.63,69,8,13.33,PF,1618872258
213,Ribeira Grande,38.5167,-28.7,62.58,90,94,17.92,PT,1618872259
214,Nosy Varika,-20.5833,48.5333,70.02,85,100,6.76,MG,1618872259
215,Ostrovnoy,68.0531,39.5131,34.27,91,69,14.25,RU,1618872259
216,East London,-33.0153,27.9116,65.5,74,100,8.68,ZA,1618872260
217,Peleduy,59.6289,112.7406,23.07,95,100,4.79,RU,1618872260
218,Pacific Grove,36.6177,-121.9166,59.0,67,75,11.5,US,1618872089
219,Uíge,-7.6087,15.0613,66.33,96,100,0.45,AO,1618872260
220,Dodge City,37.7528,-100.0171,48.0,53,1,24.16,US,1618872008
221,Itarema,-2.9248,-39.9167,76.48,86,93,4.21,BR,1618872261
222,Viseu,40.661,-7.9097,44.01,78,18,1.77,PT,1618872261
223,Sorong,-0.8833,131.25,78.75,83,91,4.47,ID,1618872261
224,Havre-St-Pierre,50.2334,-63.5986,44.6,87,90,5.75,CA,1618872247
225,Esim,4.8699,-2.2405,80.62,83,98,5.41,GH,1618872262
226,Tuktoyaktuk,69.4541,-133.0374,26.6,86,40,3.44,CA,1618872262
227,Talcahuano,-36.7167,-73.1167,60.8,82,75,14.97,CL,1618872015
228,Petropavlovsk-Kamchatskiy,53.0452,158.6483,39.2,87,90,20.13,RU,1618872263
229,Berdigestyakh,62.0989,126.6992,12.34,89,94,6.31,RU,1618872263
230,Yarmouth,41.7057,-70.2286,57.99,54,1,8.05,US,1618872263
231,Ekenäs,59.9736,23.4339,41.0,47,3,5.01,FI,1618872264
232,Bilibino,68.0546,166.4372,24.13,76,29,3.87,RU,1618872264
233,Oussouye,12.485,-16.5469,77.0,88,0,4.61,SN,1618872264
234,Sisimiut,66.9395,-53.6735,23.41,76,100,5.17,GL,1618872264
235,Santa Fe,-31.6333,-60.7,73.99,65,0,8.48,AR,1618871994
236,Kulhudhuffushi,6.6221,73.07,83.48,72,14,5.97,MV,1618872265
237,Coahuayana Viejo,18.7333,-103.6833,80.6,32,1,11.5,MX,1618872265
238,Chimoré,-16.9833,-65.1333,72.86,96,6,1.63,BO,1618872266
239,Arrondissement de Melun,48.5,2.75,50.0,76,0,4.85,FR,1618872266
240,Te Anau,-45.4167,167.7167,57.9,67,12,5.32,NZ,1618872266
241,Gemena,3.25,19.7667,70.84,89,99,3.13,CD,1618872266
242,Tromsø,69.6496,18.957,44.6,57,75,10.36,NO,1618872263
243,Northam,51.0333,-4.2167,45.0,82,100,1.99,GB,1618872268
244,Yerofey Pavlovich,53.9667,121.9667,24.94,47,47,2.01,RU,1618872269
245,Bambanglipuro,-7.95,110.2833,74.25,85,34,5.3,ID,1618872269
246,Green Valley,31.8543,-110.9937,82.0,10,0,3.0,US,1618872270
247,Vestmannaeyjar,63.4427,-20.2734,38.57,56,96,23.29,IS,1618872270
248,Nabagrām,22.2881,88.5092,82.4,89,40,6.91,IN,1618872131
249,Vostok,46.4856,135.8833,28.74,51,50,16.98,RU,1618872271
250,Bodmin,50.4715,-4.7243,44.6,87,100,6.91,GB,1618872271
251,Bethel,41.3712,-73.414,62.6,45,40,6.91,US,1618872272
252,Siteki,-26.45,31.95,63.59,74,52,8.75,SZ,1618872272
253,Orda,57.1951,56.9091,30.97,55,2,3.27,RU,1618872272
254,Provideniya,64.3833,-173.3,30.2,59,0,13.42,RU,1618872272
255,Himarë,40.1017,19.7447,42.01,93,50,5.97,AL,1618872273
256,Salinas,36.6777,-121.6555,59.0,63,1,14.97,US,1618872054
257,Bambous Virieux,-20.3428,57.7575,77.0,94,40,8.79,MU,1618872273
258,Gravdal,68.1214,13.5031,42.1,81,95,15.64,NO,1618872273
259,Bandarbeyla,9.4942,50.8122,81.43,78,87,4.29,SO,1618872274
260,Lengshuijiang,27.6881,111.4294,61.65,95,91,2.3,CN,1618872274
261,Xai-Xai,-25.0519,33.6442,66.52,79,0,2.42,MZ,1618872274
262,Kruisfontein,-34.0033,24.7314,60.01,83,100,3.0,ZA,1618872275
263,Flin Flon,54.7682,-101.865,32.0,47,90,10.36,CA,1618872275
264,Iisalmi,63.5592,27.1907,32.0,86,0,1.14,FI,1618872275
265,La Santisima Trinidad,-14.8333,-64.9,78.8,83,75,4.61,BO,1618872276
266,Bara,10.3744,10.7288,83.79,30,64,5.39,NG,1618872276
267,Nantucket,41.2835,-70.0995,53.01,71,1,9.22,US,1618872106
268,Naliya,23.2667,68.8333,79.79,73,100,9.82,IN,1618872276
269,Ekhabi,53.5102,142.9671,31.35,99,100,11.83,RU,1618872277
270,Witu,-2.3889,40.4382,75.9,84,99,9.53,KE,1618872277
271,Chunskiy,56.0815,99.6342,16.97,74,99,13.13,RU,1618872277
272,Neyshabur,36.2133,58.7958,60.26,42,4,1.66,IR,1618872278
273,Auka,14.9333,-83.8333,84.2,74,75,11.5,HN,1618872278
274,Santa Cruz de la Sierra,-17.8,-63.1667,75.2,83,75,2.3,BO,1618872237
275,Erzin,36.9559,36.2,66.2,82,40,2.3,TR,1618872278
276,Rancho Palos Verdes,33.7445,-118.387,73.99,60,1,19.57,US,1618872152
277,Isangel,-19.55,169.2667,86.0,79,20,5.75,VU,1618872279
278,Mount Gambier,-37.8333,140.7667,50.0,100,90,10.36,AU,1618872279
279,Luanda,-8.8368,13.2343,75.2,94,40,4.61,AO,1618872245
280,Samarai,-10.6167,150.6667,82.96,75,98,10.16,PG,1618872280
281,Durango,24.8333,-104.8333,75.52,8,89,21.41,MX,1618872173
282,Kimbe,-5.5502,150.1429,82.33,80,87,1.43,PG,1618872280
283,Tarabuco,-19.1667,-64.9167,50.99,76,16,5.79,BO,1618872281
284,Shimoda,34.6667,138.95,57.99,57,0,3.83,JP,1618872281
285,Andenes,69.3143,16.1194,44.6,65,20,11.5,NO,1618872281
286,Formosa do Rio Preto,-11.0483,-45.1931,69.69,93,96,3.42,BR,1618872282
287,Leh,34.1667,77.5833,27.09,42,8,2.46,IN,1618872282
288,Castro,-24.7911,-50.0119,56.41,91,19,3.2,BR,1618872283
289,Soyo,-6.1349,12.3689,77.34,89,100,9.13,AO,1618872283
290,Sovetskiy,61.3614,63.5842,28.72,67,98,10.38,RU,1618872283
291,Malindi,-3.2175,40.1191,76.5,83,100,13.94,KE,1618872284
292,Lodwar,3.1191,35.5973,82.58,55,92,17.52,KE,1618872284
293,Verkhnevilyuysk,63.4453,120.3167,8.58,93,99,2.75,RU,1618872284
294,Dalby,-27.1833,151.2667,57.2,94,0,9.01,AU,1618872285
295,Faya,18.3851,42.4509,60.8,47,0,6.44,SA,1618872285
296,Walvis Bay,-22.9575,14.5053,82.99,43,3,5.01,NA,1618872285
297,Priargunsk,50.3691,119.1012,35.96,15,11,7.38,RU,1618872285
298,Codrington,-38.2667,141.9667,51.69,90,74,17.81,AU,1618872286
299,Lakes Entrance,-37.8811,147.981,60.84,50,37,10.07,AU,1618872286
300,Opuwo,-18.0607,13.84,68.05,38,1,7.2,NA,1618872286
301,Nizwá,22.9333,57.5333,75.42,15,16,3.69,OM,1618872287
302,Camaná,-16.6228,-72.7111,69.08,84,13,6.2,PE,1618872287
303,Guerrero Negro,27.9769,-114.0611,78.78,26,2,16.22,MX,1618872287
304,Fairbanks,64.8378,-147.7164,55.4,40,1,3.44,US,1618872288
305,Puerto Quijarro,-17.7833,-57.7667,81.97,59,95,1.79,BO,1618872288
306,Machaneng,-23.1862,27.4886,61.52,47,0,6.11,BW,1618872289
307,Muisne,0.6,-80.0333,82.4,83,75,9.22,EC,1618872289
308,Dunedin,-45.8742,170.5036,64.0,55,0,8.01,NZ,1618872084
309,Ürümqi,43.801,87.6005,51.8,58,0,6.71,CN,1618872289
310,Farīdpur,23.6,89.8333,80.6,74,75,13.8,BD,1618872290
311,Boden,65.8252,21.6886,30.2,93,48,2.3,SE,1618872290
312,Tabuk,17.4189,121.4443,73.27,86,99,10.42,PH,1618872290
313,Lata,40.1629,-8.3327,60.01,90,10,1.01,PT,1618872290
314,Hualmay,-11.0964,-77.6139,69.22,81,82,10.56,PE,1618872291
315,Pevek,69.7008,170.3133,23.0,79,30,7.76,RU,1618872291
316,Loreto,22.2667,-101.9667,80.83,6,39,25.9,MX,1618872291
317,Fare,-16.7,-151.0167,82.51,72,1,13.33,PF,1618872292
318,Saint-Joseph,-21.3667,55.6167,75.2,94,90,4.61,RE,1618872292
319,Thunder Bay,48.4001,-89.3168,32.0,59,90,14.97,CA,1618872023
320,Yulara,-25.2406,130.9889,48.2,71,0,6.91,AU,1618872292
321,College,64.8569,-147.8028,55.4,30,1,4.61,US,1618872293
322,Erenhot,43.6475,111.9767,47.55,34,19,5.55,CN,1618872293
323,Tuxpan,19.55,-103.4,80.6,32,1,11.5,MX,1618872293
324,Nikolskoye,59.7035,30.7861,39.0,60,0,6.71,RU,1618872294
325,Sunland Park,31.7965,-106.58,72.0,21,20,8.05,US,1618872294
326,Kodinsk,58.6881,99.1844,14.59,91,100,16.75,RU,1618872294
327,Atar,20.5169,-13.0499,80.73,12,3,3.09,MR,1618872295
328,Jiayuguan City,39.8167,98.3,48.83,37,78,2.04,CN,1618872295
329,Hīt,33.6416,42.8251,82.56,19,98,1.23,IQ,1618872295
330,Dwārka,22.2394,68.9678,80.28,78,85,14.94,IN,1618872297
331,Aykhal,66.0,111.5,3.99,99,99,4.54,RU,1618872297
332,São Paulo de Olivença,-3.3783,-68.8725,73.0,98,95,3.44,BR,1618872297
333,Kholm,59.2667,32.85,36.72,68,54,6.15,RU,1618872297
334,Moose Factory,51.2585,-80.6094,24.8,86,90,13.8,CA,1618872298
335,Kuah,6.3265,99.8432,80.6,94,20,2.3,MY,1618872298
336,Alakurtti,66.9672,30.3491,30.0,83,30,1.23,RU,1618872298
337,Clyde River,70.4692,-68.5914,6.8,85,75,17.27,CA,1618872299
338,Logan Lake,50.4998,-120.8025,64.4,13,1,5.75,CA,1618872299
339,Behshahr,36.6923,53.5526,64.6,60,42,2.15,IR,1618872299
340,Surgut,61.25,73.4167,14.0,73,0,8.95,RU,1618872300
341,Port-Gentil,-0.7193,8.7815,77.0,94,20,2.3,GA,1618872300
342,Uyuni,-20.4597,-66.825,51.78,14,0,8.05,BO,1618872300
343,Port Moresby,-9.4431,147.1797,78.8,89,40,5.75,PG,1618872301
344,Katangli,51.7102,143.2326,32.58,93,98,13.4,RU,1618872301
345,Rawson,-43.3002,-65.1023,75.65,44,7,15.52,AR,1618872301
346,Sovetskaya Gavan',48.9723,140.2878,37.18,87,98,2.62,RU,1618872302
347,Ol'ga,43.7444,135.2892,44.17,31,1,14.81,RU,1618872302
348,Sola,-13.8833,167.55,83.07,75,59,11.68,VU,1618872303
349,Bairnsdale,-37.8333,147.6167,62.01,49,62,7.0,AU,1618872304
350,Irecê,-11.3042,-41.8558,70.21,86,99,2.3,BR,1618872304
351,Santa Rosa,14.3122,121.1114,81.0,74,75,5.75,PH,1618872304
352,Iranshahr,27.2025,60.6848,74.12,30,21,2.19,IR,1618872305
353,Lagos,6.5833,3.75,80.6,89,20,2.3,NG,1618872122
354,Bozoum,6.3193,16.3799,70.97,84,96,6.17,CF,1618872305
355,Batticaloa,7.7102,81.6924,80.65,75,84,0.69,LK,1618872306
356,Christchurch,-43.5333,172.6333,64.0,48,96,2.3,NZ,1618872181
